Siren_Siret;Campagne;Departement;Flux;Origine;Tonnage;Date_creation;Date_modification
"48345043300000";"CMD 2007";"06";"ND";"ND";"3438.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"07";"ND";"ND";"147.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"08";"ND";"ND";"273.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"09";"ND";"ND";"498.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"10";"ND";"ND";"286.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"11";"ND";"ND";"351.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"12";"ND";"ND";"1013.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"13";"ND";"ND";"2822.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"14";"ND";"ND";"575.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"15";"ND";"ND";"206.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"16";"ND";"ND";"494.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"17";"ND";"ND";"610.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"18";"ND";"ND";"215.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"19";"ND";"ND";"191.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"21";"ND";"ND";"1119.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"22";"ND";"ND";"689.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"23";"ND";"ND";"69.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"24";"ND";"ND";"337.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"25";"ND";"ND";"1127.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"26";"ND";"ND";"562.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"27";"ND";"ND";"272.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"28";"ND";"ND";"485.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"29";"ND";"ND";"1967.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"30";"ND";"ND";"1275.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"31";"ND";"ND";"2314.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"32";"ND";"ND";"197.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"33";"ND";"ND";"2150.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"34";"ND";"ND";"1534.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"35";"ND";"ND";"3486.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
"48345043300000";"CMD 2007";"36";"ND";"ND";"269.0";"2010-02-19T14:30:45";"2010-02-19T14:30:45"
